기관 명,모델명,시리얼,구분,초미세먼지(㎍/㎥),미세먼지(㎍/㎥),기온(℃),상대습도( %),풍향(°),풍속(m/s),돌풍 풍향(°),돌풍 풍속(m/s),조도(lux),자외선(UVI),소음(dB),진동_x(g),진동_y(g),진동_z(g),진동_x 최대(g),진동_y 최대(g),진동_z 최대(g),흑구 운도(℃),초미세먼지 보정(㎍/㎥),미세먼지 보정(㎍/㎥),전송시간,등록일자
서울시,SDOT001,OC3CL200070,1,0,1,16.7,53,,,,,,,57,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200065,1,0,0,15.9,57,,,,,0,0,52,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200066,1,0,0,16.6,53,,,,,0,0,51,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200068,1,0,1,16,45,,,,,0,1.3,59,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200067,1,0,1,16.7,55,,,,,2330,1.3,49,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200063,1,1,2,15.6,63,,,,,0,0,51,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200064,1,1,2,15.6,46,,,,,0,0,47,,,,,,,,2,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200062,1,0,1,16.6,57,,,,,128,0,51,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200061,1,0,0,15.6,61,,,,,0,0,52,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200056,1,0,1,16.1,61,,,,,,,62,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200060,1,0,0,16.2,54,,,,,0,1.3,53,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200055,1,0,0,16.4,53,,,,,,,65,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200059,1,0,1,17.1,49,,,,,,,64,,,,,,,,1,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200058,1,0,0,17.2,49,,,,,,,59,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200057,1,0,1,17.2,49,,,,,,,55,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200053,1,0,1,15.5,50,,,,,,,54,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200054,1,1,2,16.5,56,,,,,,,52,,,,,,,,2,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200080,1,0,1,16.1,56,,,,,0,,57,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200079,1,1,2,16.5,52,,,,,,,62,,,,,,,,2,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200078,1,0,1,16.9,49,,,,,,,64,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200077,1,1,2,17.2,49,,,,,,,67,,,,,,,,2,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200076,1,0,1,16.1,52,,,,,,,60,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200074,1,0,1,16.8,53,,,,,,,64,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200075,1,1,3,16.5,49,,,,,,,69,,,,,,,,1,6,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200073,1,0,0,16.5,41,,,,,,,62,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200092,1,0,0,16.6,57,,,,,,,36,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200089,1,1,2,14.6,71,,,,,0,,51,,,,,,,,2,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200091,1,0,1,16.3,55,,,,,,,46,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200090,1,0,1,16.8,50,,,,,,,56,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200088,1,3,5,14.1,74,,,,,9,,50,,,,,,,,4,8,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200086,1,0,1,16.5,52,,,,,0,,52,,,,,,,,1,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200087,1,0,1,16.7,44,,,,,0,,56,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200083,1,0,1,15.2,68,,,,,0,,57,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200084,1,0,1,17,51,,,,,0,,53,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200085,1,0,1,16.4,51,,,,,0,,52,,,,,,,,1,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200081,1,0,1,16.4,47,,,,,0,,56,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200082,1,0,1,16.9,49,,,,,0,,55,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200112,1,0,1,17,48,,,,,,,52,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200109,1,0,1,16.7,44,,,,,,,52,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200111,1,0,0,16.6,54,,,,,,,50,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200110,1,0,0,16.8,59,,,,,,,58,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200108,1,0,1,16.1,57,,,,,,,50,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200107,1,0,1,17,52,,,,,,,48,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200105,1,1,2,16.3,54,,,,,,,49,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200106,1,0,1,16.8,53,,,,,,,50,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200104,1,2,3,17.9,46,,,,,,,57,,,,,,,,3,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200103,1,0,1,16.4,54,,,,,,,54,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200099,1,1,2,16.7,53,,,,,,,51,,,,,,,,2,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200102,1,0,1,16.7,52,,,,,,,49,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200100,1,0,1,15.8,59,,,,,,,51,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200098,1,1,2,15.8,60,,,,,,,51,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200101,1,0,1,16.1,54,,,,,,,56,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200097,1,0,1,16.3,57,,,,,,,48,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200096,1,0,1,17.3,47,,,,,,,56,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200095,1,0,1,16.1,47,,,,,,,51,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200094,1,1,2,16.3,57,,,,,,,50,,,,,,,,2,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200093,1,0,1,16.4,53,,,,,,,53,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200130,1,1,2,16.1,52,,,,,,,54,,,,,,,,1,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200129,1,1,2,16.4,61,,,,,,,52,,,,,,,,1,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200132,1,1,2,13.3,74,,,,,,,52,,,,,,,,2,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200128,1,1,2,14.7,51,,,,,,,51,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200131,1,0,1,16.1,58,,,,,,,62,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200126,1,1,3,16.2,50,,,,,,,66,,,,,,,,3,6,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200125,1,0,0,15.9,59,,,,,,,53,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200127,1,0,1,16.6,49,,,,,,,68,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200124,1,1,2,15.8,59,,,,,,,51,,,,,,,,2,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200122,1,1,2,14.9,54,,,,,,,54,,,,,,,,2,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200123,1,0,0,16.3,54,,,,,,,67,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200120,1,1,2,16.9,49,,,,,,,52,,,,,,,,2,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200121,1,0,1,15.6,62,,,,,,,53,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200119,1,0,1,16.8,47,,,,,,,56,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200117,1,0,1,16,56,,,,,,,54,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200116,1,1,2,16.1,46,,,,,,,54,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200118,1,0,1,16.7,52,,,,,,,50,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200115,1,0,1,16.7,53,,,,,,,49,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200114,1,0,1,16.6,52,,,,,,,57,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200113,1,0,1,16.5,46,,,,,,,52,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200152,1,1,3,16.7,43,257,0.6,220,1.7,,,59,,,,,,,,2,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200151,1,0,0,-40,42,320,2.3,298,4.9,,,57,,,,,,,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200150,1,0,1,16.8,49,99,1.1,124,2.5,,,61,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200149,1,0,1,16.4,43,89,0.4,164,2.6,,,59,,,,,,,,0,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200147,1,0,1,16.3,44,282,0.2,170,1.5,,,61,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200148,1,0,1,16.1,44,5,0.3,192,1.7,,,59,,,,,,,,0,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200146,1,0,1,15.1,57,269,0.2,236,0.8,,,55,,,,,,,,1,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200145,1,0,2,16.3,60,83,0.5,104,1.3,,,39,,,,,,,,0,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200143,1,0,1,13.5,58,6,0.4,98,2.2,,,50,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200141,1,0,1,16.1,48,27,1,44.9,2.3,,,64,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200144,1,0,1,16.5,54,255,1.5,249,2.6,,,56,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200142,1,0,1,16.5,53,208,0.6,197,2.1,,,75,,,,,,,,1,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200140,1,0,2,15,66,216,0.3,168,1.4,,,50,,,,,,,,0,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200137,1,0,1,16.1,60,225,1.4,234,2.6,,,57,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200139,1,0,0,17,51,211,2,208,4.8,,,61,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200138,1,1,1,16.1,44,74,0.3,167,2.4,,,52,,,,,,,,1,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200133,1,0,1,16.7,50,,,,,,,54,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200134,1,0,1,16.6,54,,,,,,,51,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200136,1,0,1,16.4,57,332,0.8,241,1.6,,,53,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200135,1,0,1,16.5,60,101,0.4,156,0.9,,,60,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200171,1,0,1,16.6,56,,,,,,,60,0.03,0.01,1.02,0.08,0.15,1.13,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200170,1,0,1,17.1,50,,,,,,,67,0.02,0.02,1.01,0.07,0.14,1.12,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200173,1,1,2,16.8,44,,,,,,,54,0.02,0.06,1.06,0.07,0.12,1.13,,2,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200172,1,1,2,17.5,41,,,,,,,68,0.03,0.05,1.06,0.09,0.12,1.14,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200168,1,1,2,17.2,42,,,,,,,65,0.01,0.05,1.04,0.05,0.13,1.11,,2,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200169,1,0,0,15.4,58,,,,,,,62,0.02,0.02,1.03,0.06,0.07,1.1,,0,0,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200165,1,0,1,16.7,54,,,,,,,64,0.01,0.02,1.09,0.06,0.12,1.17,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200166,1,0,1,16.9,42,,,,,,,57,0.01,0.03,1.03,0.05,0.11,1.11,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200167,1,1,2,16.6,44,,,,,,,61,0.03,0.03,1.13,0.08,0.12,1.19,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200163,1,0,1,15.5,60,,,,,,,35,0.03,0.03,1.07,0.09,0.14,1.16,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200164,1,0,1,16.5,53,,,,,,,67,0.01,0.02,1.04,0.06,0.14,1.14,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200158,1,0,0,16,54,,,,,,,61,0.06,0.07,1.08,0.14,0.14,1.16,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200162,1,0,1,15.3,50,,,,,,,36,0.01,0.08,1.03,0.06,0.14,1.11,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200156,1,2,3,16.2,53,,,,,,,35,0.09,0.05,1,0.14,0.11,1.09,,3,6,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200161,1,1,2,15.7,49,,,,,,,64,0.03,0.08,1.08,0.08,0.15,1.15,,1,4,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200160,1,0,1,16.1,57,,,,,,,66,0.01,0.02,1,0.05,0.1,1.11,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200157,1,0,2,16.3,53,,,,,,,66,0.01,0.18,1.01,0.05,0.22,1.1,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200155,1,3,5,17,51,,,,,,,68,0.01,0.02,1.06,0.06,0.14,1.12,,4,8,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200154,1,0,1,13.7,53,307,0.3,261,1.2,,,70,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200153,1,0,1,15.9,46,225,0.7,189,2.3,,,57,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200191,1,1,2,16.4,47,,,,,,,55,,,,,,,,3,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200192,1,0,1,16.6,43,,,,,,,62,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200193,1,0,2,16.8,41,,,,,,,64,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200190,1,0,1,16.3,52,,,,,,,63,,,,,,,,0,2,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200187,1,2,3,-40,42,,,,,,,67,,,,,,,,3,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200189,1,0,1,16.6,52,,,,,,,61,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200188,1,1,2,16.6,53,,,,,,,62,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200185,1,0,1,17.1,44,,,,,,,54,,,,,,,,0,1,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200186,1,2,3,16.9,44,,,,,,,57,,,,,,,,3,5,2.02111E+11,2021-11-08 0:07
서울시,SDOT001,OC3CL200183,1,1,2,16.4,52,,,,,,,53,,,,,,,,1,3,2.02111E+11,2021-11-08 0:07
